,timestamp,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,ATOM/USDT_open,ATOM/USDT_high,ATOM/USDT_low,ATOM/USDT_close,ATOM/USDT_volume,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1154,2022-08-25,0.4578,0.473955,0.457582,0.464516,30932468.97,13.01232,13.34507,12.56849,12.85502,528878.05,7.562,7.762,7.455,7.588,673711.82,7.1204,7.3727,7.0069,7.1287,52220.6,56.46,57.52,55.82,56.64,81403.1003,1.59962,1.68022,1.59613,1.66833,175796.53
1155,2022-08-26,0.464516,0.481991,0.42578,0.431611,175036380.54,12.85502,13.11745,11.35148,11.55349,673026.02,7.588,7.686,6.855,6.922,1604978.77,7.1287,7.1824,6.4084,6.5042,117201.54,56.64,58.29,52.08,52.68,275075.4881,1.66833,1.67189,1.463,1.48273,350593.94
1156,2022-08-27,0.431611,0.45147,0.426141,0.449835,85096229.79,11.55349,11.55349,10.69187,11.17003,380923.61,6.922,7.105,6.802,7.048,1253465.39,6.5042,6.6095,6.4161,6.5301,61531.93,52.68,53.48,51.73,53.01,114153.6426,1.48273,1.48909,1.43117,1.46222,152495.38
1157,2022-08-28,0.449835,0.454256,0.427801,0.428992,54090256.94,11.17003,11.37047,10.4571,10.5809,271894.1,7.048,7.147,6.823,6.865,920126.94,6.5301,6.6289,6.2271,6.2526,49193.62,53.01,55.87,52.46,53.41,247616.5896,1.46222,1.49283,1.42253,1.42713,138681.71
1158,2022-08-29,0.428992,0.452913,0.424113,0.450409,65436491.69,10.5809,11.71971,10.1803,11.44523,312158.68,6.865,7.31,6.795,7.275,1313809.37,6.2526,6.7334,6.2035,6.7003,56620.11,53.41,56.68,52.51,55.79,228997.496,1.42713,1.53509,1.41718,1.53015,126986.41
1159,2022-08-30,0.450409,0.4628,0.438674,0.452985,76973850.37,11.44523,12.16328,11.12148,11.91885,415598.89,7.275,7.37,6.883,7.005,1316586.39,6.7003,6.8254,6.3722,6.5522,57735.63,55.79,56.23,51.86,52.99,159600.4541,1.53015,1.55016,1.4498,1.49526,165666.12
1160,2022-08-31,0.452985,0.463062,0.444991,0.446082,54482506.62,11.91885,12.33855,11.55272,11.81675,411279.42,7.005,7.285,6.979,7.037,1410360.12,6.5522,6.893,6.548,6.6302,68033.91,52.99,55.26,52.99,53.85,134154.313,1.49526,1.57936,1.4911,1.51011,203250.72
1161,2022-09-01,0.446082,0.462287,0.440894,0.457304,70612572.19,11.81675,12.8443,11.45153,12.72711,443674.05,7.037,7.2,6.865,7.173,1438892.33,6.6302,6.9605,6.4503,6.9203,69472.64,53.85,57.81,53.19,57.57,202354.9964,1.51011,1.54024,1.47388,1.53996,118463.86
1162,2022-09-02,0.457304,0.466412,0.448902,0.454361,46235357.4,12.72711,13.06892,12.32447,12.61079,305364.85,7.173,7.573,7.12,7.297,1230875.45,6.9203,7.2323,6.7868,6.9266,96732.44,57.57,62.4,56.5,60.99,249743.7605,1.53996,1.56367,1.46703,1.48934,109808.31
1163,2022-09-03,0.454361,0.485798,0.453868,0.480234,73251267.5,12.61079,12.87711,12.13115,12.62639,228507.67,7.297,7.318,7.163,7.287,734929.12,6.9266,6.9635,6.7243,6.8594,34159.66,60.99,62.25,59.53,60.15,104984.7839,1.48934,1.5272,1.46846,1.5222,132238.0
