,timestamp,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1217,2023-12-22,8.421,8.561,7.842,7.956,320140.45,0.929,1.011,0.925,0.991,90036.98
1218,2023-12-23,7.956,8.441,7.582,8.322,354359.52,0.991,1.04,0.95,0.988,119498.7
1219,2023-12-24,8.322,9.196,8.312,8.616,639160.74,0.988,1.011,0.966,0.981,201486.94
1220,2023-12-25,8.616,9.396,8.502,9.189,519663.83,0.981,1.048,0.974,1.041,216003.99
1221,2023-12-26,9.189,9.587,8.354,8.819,439181.66,1.041,1.068,0.974,1.048,138871.08
1222,2023-12-27,8.819,9.018,8.412,8.694,303446.97,1.048,1.135,1.018,1.114,266277.18
1223,2023-12-28,8.694,8.914,8.267,8.429,197291.93,1.114,1.129,1.04,1.053,113542.99
1224,2023-12-29,8.429,8.68,8.07,8.289,206508.67,1.053,1.07,1.008,1.029,46033.97
1225,2023-12-30,8.289,8.484,8.098,8.345,146108.23,1.029,1.057,1.008,1.019,46117.74
1226,2023-12-31,8.345,8.638,8.03,8.201,129277.52,1.019,1.042,0.994,1.007,73033.22
1227,2024-01-01,8.201,8.63,8.065,8.593,176019.29,1.007,1.113,1.007,1.102,129526.79
1228,2024-01-02,8.593,8.802,8.333,8.41,201015.9,1.102,1.111,1.053,1.068,104435.04
1229,2024-01-03,8.41,8.575,6.94,7.627,401314.03,1.068,1.125,0.87,0.975,254529.91
1230,2024-01-04,7.627,7.988,7.48,7.883,307394.79,0.975,0.987,0.946,0.971,69332.07
1231,2024-01-05,7.883,7.954,7.194,7.447,217698.81,0.971,0.982,0.901,0.935,119845.69
1232,2024-01-06,7.447,7.447,6.95,7.132,142937.73,0.935,0.94,0.884,0.921,64897.52
1233,2024-01-07,7.132,7.324,6.82,6.898,173486.0,0.921,0.937,0.864,0.87,57569.71
1234,2024-01-08,6.898,7.503,6.514,7.483,275708.95,0.87,0.943,0.815,0.936,84692.42
1235,2024-01-09,7.483,7.528,6.911,7.125,159926.58,0.936,0.939,0.857,0.89,106213.02
1236,2024-01-10,7.125,8.085,6.81,7.99,223275.21,0.89,0.968,0.851,0.942,84558.23
1237,2024-01-11,7.99,8.577,7.861,8.149,362103.36,0.942,1.202,0.938,1.084,245913.52
1238,2024-01-12,8.149,8.212,7.33,7.567,268951.18,1.084,1.114,0.994,1.022,79202.73
1239,2024-01-13,7.567,7.752,7.382,7.617,198508.85,1.022,1.09,0.991,1.08,167784.01
1240,2024-01-14,7.617,7.699,7.316,7.325,88392.86,1.08,1.18,1.053,1.108,170364.58
1241,2024-01-15,7.325,7.688,7.316,7.51,166589.23,1.108,1.243,1.108,1.163,96834.08
1242,2024-01-16,7.51,7.687,7.347,7.49,124800.41,1.163,1.19,1.103,1.124,82166.89
1243,2024-01-17,7.49,7.596,7.26,7.35,75592.7,1.124,1.143,1.068,1.096,84570.49
1244,2024-01-18,7.35,7.39,6.83,7.011,129733.44,1.096,1.099,1.016,1.037,41182.93
1245,2024-01-19,7.011,7.051,6.575,6.893,168976.52,1.037,1.046,0.965,1.021,51755.89
1246,2024-01-20,6.893,6.95,6.78,6.914,89861.05,1.021,1.044,1.004,1.031,32423.63
1247,2024-01-21,6.914,6.972,6.803,6.817,153373.09,1.031,1.046,1.013,1.017,41027.86
1248,2024-01-22,6.817,6.848,6.3,6.341,133164.44,1.017,1.03,0.945,0.956,46176.31
1249,2024-01-23,6.341,6.455,5.98,6.362,221063.49,0.956,0.979,0.895,0.941,58536.01
1250,2024-01-24,6.362,6.54,6.261,6.462,83803.72,0.941,0.96,0.928,0.95,35069.29
1251,2024-01-25,6.462,6.569,6.354,6.434,53727.84,0.95,0.953,0.908,0.934,48004.36
1252,2024-01-26,6.434,6.728,6.362,6.67,100784.16,0.934,0.973,0.92,0.97,39364.31
