,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,SOL/USDT_open,SOL/USDT_high,SOL/USDT_low,SOL/USDT_close,SOL/USDT_volume,spread_zscore
739,2021-01-10,1275.62,1347.36,1172.46,1255.03,152086.9659,3.4103,3.5693,3.1675,3.4582,298470.24,2.2425869179732065
740,2021-01-11,1255.03,1259.36,915.69,1086.89,620022.10647,3.4582,3.5201,2.5894,3.1045,1238322.38,1.4194873876840715
741,2021-01-12,1086.89,1149.6,1000.0,1050.13,248985.11054,3.1045,3.8664,3.0748,3.6198,658154.36,1.1689994717533416
742,2021-01-13,1050.13,1136.66,988.89,1130.25,163314.80495,3.6198,3.6268,3.2704,3.5257,419160.3,1.4361462607118696
743,2021-01-14,1130.25,1246.71,1088.37,1232.99,80294.98955,3.5257,3.5863,3.1856,3.2842,230137.77,1.758331958336648
744,2021-01-15,1232.99,1256.29,1072.42,1169.48,121006.48416,3.2842,3.4398,2.9809,3.2506,235913.01,1.4142102254353905
745,2021-01-16,1169.48,1292.63,1152.29,1228.05,90070.68549,3.2506,3.7,3.2493,3.4406,302560.68,1.5441078176454743
746,2021-01-17,1228.05,1268.89,1166.87,1233.37,80714.82316,3.4406,3.9689,3.3117,3.8242,381339.9,1.4611291814446672
747,2021-01-18,1233.37,1260.31,1183.62,1258.06,49266.78246,3.8242,4.1541,3.6478,3.7889,278994.47,1.4713802368657924
748,2021-01-19,1258.06,1437.79,1252.35,1367.31,93994.02342,3.7889,4.0336,3.6086,3.6377,191822.34,1.7738915481163064
749,2021-01-20,1367.31,1407.35,1237.04,1377.19,127434.32174,3.6377,3.7442,3.3443,3.7142,274802.64,1.6978095312790473
750,2021-01-21,1377.19,1388.34,1086.13,1110.0,195182.37014,3.7142,3.7344,2.9811,2.9856,306202.65,0.7118554364487658
751,2021-01-22,1110.0,1272.95,1042.28,1233.44,169312.54025,2.9856,3.4951,2.5423,3.3369,392194.05,1.0975455912624303
752,2021-01-23,1233.44,1271.8,1196.71,1233.34,74299.66711,3.3369,3.59,3.3116,3.5013,181229.05,1.0380606430582169
753,2021-01-24,1233.34,1398.7,1220.04,1390.32,76418.65492,3.5013,3.7922,3.4916,3.6261,134603.43,1.5306209553402639
754,2021-01-25,1390.32,1473.48,1294.42,1318.76,113163.18073,3.6261,3.9722,3.4527,3.7061,302742.28,1.2007978195287456
755,2021-01-26,1318.76,1378.17,1245.2,1366.38,110011.85885,3.7061,4.088,3.6755,4.0375,307409.53,1.2938973872412616
756,2021-01-27,1366.38,1373.33,1207.64,1240.0,141443.21228,4.0375,4.0391,3.5244,3.6863,213431.12,0.8018486403918603
757,2021-01-28,1240.0,1359.89,1217.51,1328.55,83019.0582,3.6863,3.949,3.6044,3.8138,123187.86,1.0726458953630011
758,2021-01-29,1328.55,1436.19,1286.15,1377.97,141892.97834,3.8138,3.8908,3.6336,3.8328,153905.74,1.1993471626338896
759,2021-01-30,1377.97,1406.0,1326.74,1377.79,68763.75674,3.8328,4.31,3.7711,4.2259,180402.43,1.131610914661414
760,2021-01-31,1377.79,1380.07,1281.52,1312.65,40991.55925,4.2259,4.7964,4.1667,4.2609,236338.93,0.8387354225363063
761,2021-02-01,1312.65,1377.18,1270.36,1374.19,52784.03001,4.2609,4.6104,4.1142,4.6099,122567.18,1.0264404380254786
762,2021-02-02,1374.19,1547.6,1361.41,1511.8,109897.92663,4.6099,5.3969,4.4739,5.2446,253463.63,1.5010454134036815
763,2021-02-03,1511.8,1668.94,1509.26,1664.81,63130.83156,5.2446,5.7835,5.0606,5.7255,145685.93,2.010488804511019
764,2021-02-04,1664.81,1694.76,1557.63,1596.24,101282.1543,5.7255,6.5282,5.5948,6.431,189228.85,1.632831317733308
765,2021-02-05,1596.24,1759.99,1591.32,1719.21,62985.60835,6.431,7.1205,6.4256,6.6822,164146.67,2.0348598135970954
766,2021-02-06,1719.21,1743.37,1645.0,1676.52,51842.36316,6.6822,6.802,5.6965,6.1062,221984.96,1.7980373647769536
767,2021-02-07,1676.52,1692.48,1493.03,1611.61,77096.36228,6.1062,6.8663,5.7532,6.6828,253805.4,1.4442369586752177
768,2021-02-08,1611.61,1775.4,1565.0,1749.25,95560.25001,6.6828,8.0479,6.4837,7.8672,290092.5,1.903434509715207
769,2021-02-09,1749.25,1821.34,1709.11,1769.38,63456.40084,7.8672,8.475,7.5612,7.8068,196317.94,1.928308006859963
770,2021-02-10,1769.38,1836.88,1680.01,1741.2,89826.75616,7.8068,9.071,7.4758,9.071,308126.36,1.7063437845467149
771,2021-02-11,1741.2,1818.25,1704.08,1786.12,45248.3145,9.071,10.0356,8.7367,9.2544,268648.0,1.8710338096211292
772,2021-02-12,1786.12,1863.11,1740.36,1840.98,38629.99369,9.2544,9.9304,9.0735,9.2289,190557.55,2.0124283618506382
773,2021-02-13,1840.98,1871.09,1765.04,1815.95,46423.09441,9.2289,9.4892,8.6775,8.7307,163733.99,1.8065605144119559
774,2021-02-14,1815.95,1850.0,1785.01,1800.06,24075.94197,8.7307,9.2037,8.5388,8.7199,127591.22,1.6312792925453865
775,2021-02-15,1800.06,1835.66,1658.95,1778.68,65883.03699,8.7199,9.3433,7.7628,8.8513,151641.43,1.43714702226991
776,2021-02-16,1778.68,1827.18,1724.36,1781.95,34077.1019,8.8513,8.9777,7.9811,8.2979,117466.11,1.3996673025242559
777,2021-02-17,1781.95,1854.46,1733.32,1849.18,25618.18973,8.2979,8.434,7.5417,8.2252,199371.01,1.6024927279816186
778,2021-02-18,1849.18,1950.16,1849.18,1939.12,23854.97201,8.2252,9.2939,8.2228,8.9738,127466.83,1.8204618415723164
